City,population
New York,8804190
Los Angeles,3898747
Chicago,2746388
Houston,2304580
Phoenix,1608139
Philadelphia,1603797
San Antonio,1434625
San Diego,1386932
Dallas,1304379
San Jose,1013240
Austin,961855
Jacksonville,949611
Fort Worth,918915
Columbus,905748
Indianapolis,887642
Charlotte,874579
San Francisco,873965
Seattle,737015
Denver,715522
Washington,689545
Nashville,689447
Oklahoma City,681054
El Paso,678815
Boston,675647
Portland,652503
Las Vegas,641903
Detroit,639111
Memphis,633104
Louisville,633045
Baltimore,585708
Milwaukee,577222
Albuquerque,564559
Tucson,542629
Fresno,542107
Sacramento,524943
Mesa,504258
Atlanta,498715
Omaha,486051
Colorado Springs,478961
Raleigh,467665
Long Beach,466742
Miami,442241
Oakland,440646
Minneapolis,429954
Tulsa,413066
Bakersfield,403455
Wichita,397532
Arlington,394266
Aurora,386261
Tampa,384959
New Orleans,383997
Cleveland,372624
Honolulu,350964
Anaheim,346824
Stockton,320804
Corpus Christi,317863
Riverside,314998
Newark,311549
Saint Paul,311527
Santa Ana,310227
Cincinnati,309317
Orlando,307573
Pittsburgh,302971
St. Louis,301578
Greensboro,299035
Jersey City,292449
Anchorage,291247
Lincoln,291082
Plano,285494
Durham,283506
Buffalo,278349
Chandler,275987
Chula Vista,275487
Toledo,270871
Gilbert,267918
Reno,264165
Fort Wayne,263886
North Las Vegas,262527
St. Petersburg,258308
Lubbock,257141
Irving,256684
Laredo,255205
Winston-Salem,249545
Chesapeake,249422
Glendale,248325
Garland,246018
Scottsdale,241361
Norfolk,238005
Boise,235684
Fremont,230504
Spokane,228989
Santa Clarita,228673
Hialeah,223109
San Bernardino,222101
Tacoma,219346
Modesto,218464
Huntsville,215006
Des Moines,214133
Yonkers,211569
Rochester,211328
Moreno Valley,208634
Fayetteville,208501
Fontana,208393
Columbus,206922
Worcester,206518
Port St. Lucie,204851
Little Rock,202591
Augusta,202081
Oxnard,202063
Birmingham,200733
Montgomery,200603
Frisco,200509
Amarillo,200393
